,hh_id,hh_race,hh_is_latinx,hh_zip_code,hh_state,hh_income,hh_size,hh_residence_type
0,2000021,2,2,90746,CA,26,2,1
1,2000878,1,2,48912,MI,15,4,1
2,2000926,1,2,53219,WI,13,1,1
3,2001131,1,2,90025,CA,21,1,3
4,2001464,1,2,91203,CA,18,1,5
5,2001560,1,2,48818,MI,16,3,7
6,2001609,1,2,53211,WI,19,1,3
7,2001715,1,2,68701,NE,17,2,1
8,2001816,1,2,90807,CA,13,1,6
9,2002123,1,2,43078,OH,26,3,1
10,2002274,1,2,48911,MI,26,1,1
11,2002306,1,2,50021,IA,26,4,1
12,2002406,1,2,61858,IL,23,2,1
13,2002564,1,2,83301,ID,15,1,1
14,2002595,1,2,90603,CA,19,2,1
15,2002599,1,2,90808,CA,11,2,1
16,2002722,1,2,91356,CA,26,3,1
17,2002731,1,2,90278,CA,27,3,4
18,2000324,1,2,13850,NY,26,2,1
19,2000358,1,1,13760,NY,27,3,1
20,2000417,1,2,97124,OR,19,2,1
21,2000599,1,2,13905,NY,21,3,1
22,2001154,1,2,93726,CA,26,3,1
23,2001301,1,2,15236,PA,21,4,1
24,2001302,1,2,15143,PA,17,1,1
25,2001306,1,2,15209,PA,19,1,1
26,2001419,1,2,21801,MD,21,1,1
27,2001825,1,2,93611,CA,11,2,1
28,2001978,1,2,14824,NY,21,4,1
29,2002000,1,2,15229,PA,26,1,2
30,2002173,1,2,45238,OH,15,1,1
31,2002318,1,2,52336,IA,27,2,1
32,2002466,1,2,68801,NE,19,1,1
33,2002617,1,2,93705,CA,18,2,1
34,2002635,1,2,95060,CA,11,1,1
35,2002904,1,2,92308,CA,26,3,1
36,2000038,1,2,95632,CA,18,4,1
37,2000076,1,2,33322,FL,26,2,1
38,2000239,1,2,49120,MI,23,9,1
39,2000328,1,2,10804,NY,27,3,1
40,2000667,1,2,21047,MD,21,3,1
41,2000696,1,2,21244,MD,26,2,5
42,2000735,1,2,36701,AL,26,2,1
43,2000825,1,2,46815,IN,13,1,6
44,2001050,1,2,71291,LA,13,1,7
45,2001117,1,2,83422,ID,16,1,1
46,2001212,1,2,4051,ME,21,2,1
47,2001406,1,2,21224,MD,11,2,1
48,2001531,1,2,46816,IN,11,2,1
49,2001619,1,2,78130,TX,16,2,1
50,2001947,1,2,12910,NY,13,7,1
51,2002480,1,2,71291,LA,18,1,1
52,2002547,1,2,78133,TX,13,2,7
53,2002708,1,2,21209,MD,19,4,6
54,2000000,1,2,36502,AL,15,3,1
55,2000374,1,2,43725,OH,21,2,1
56,2000411,1,2,97478,OR,21,2,1
57,2000561,1,2,13031,NY,21,1,1
58,2000571,1,2,13212,NY,18,1,1
59,2000573,1,2,13212,NY,15,2,5
60,2000574,1,2,13212,NY,11,1,1
61,2000793,2,2,45406,OH,11,1,1
62,2000797,1,1,45424,OH,26,2,1
63,2001000,1,2,67207,KS,15,1,1
64,2001271,1,2,13031,NY,26,2,5
65,2001492,1,2,45345,OH,26,4,1
66,2001590,1,2,52632,IA,23,2,1
67,2001623,1,2,55906,MN,27,2,1
68,2001693,2,2,67219,KS,23,1,1
69,2002139,1,2,43725,OH,26,3,1
70,2002340,1,2,47003,IN,18,2,1
71,2002409,1,2,62568,IL,16,2,1
72,2000106,2,2,60620,IL,17,2,1
73,2000399,1,2,44484,OH,26,6,1
74,2000601,1,2,32159,FL,23,2,1
75,2001213,1,2,4239,ME,15,1,3
76,2001320,1,2,15748,PA,21,4,1
77,2001513,1,2,46514,IN,21,3,1
78,2002397,1,2,60630,IL,11,1,1
79,2002398,1,2,60632,IL,21,4,1
80,2002703,1,2,60625,IL,17,1,5
81,2002794,1,2,60302,IL,27,2,1
82,2002834,1,2,60007,IL,21,4,1
83,2003041,4,2,60513,IL,15,1,1
84,2003086,1,2,60005,IL,27,2,1
85,2003094,1,2,60053,IL,26,1,1
86,2003096,1,2,60634,IL,21,2,5
87,2003097,4,2,60630,IL,3,1,1
88,2003108,1,2,60482,IL,23,2,1
89,2003484,1,2,60803,IL,26,2,1
90,2003494,3,2,60016,IL,15,3,5
91,2003559,1,2,60402,IL,16,1,5
92,2003606,1,2,60025,IL,26,2,1
93,2003610,1,2,60445,IL,18,2,1
94,2003677,2,2,60621,IL,19,5,1
95,2003767,3,2,60005,IL,27,3,1
96,2003831,1,2,60007,IL,27,2,1
97,2003857,2,2,60154,IL,23,3,1
98,2003956,1,2,60056,IL,21,2,5
99,2003964,1,2,60103,IL,26,4,1
100,2004234,3,1,60005,IL,21,3,1
101,2004240,1,2,60465,IL,26,4,1
102,2004244,1,2,60608,IL,18,1,6
103,2004297,1,2,60160,IL,17,1,1
104,2004302,1,2,60657,IL,23,1,6
105,2004315,1,2,60640,IL,8,1,1
106,2004321,1,2,60056,IL,19,1,1
107,2004333,1,2,60443,IL,13,1,7
108,2004335,1,2,60453,IL,21,2,1
109,2000550,1,2,4074,ME,26,2,1
110,2000629,1,2,16146,PA,21,2,1
111,2000655,2,2,20024,DC,18,1,6
112,2000698,1,2,21234,MD,21,3,1
113,2001209,1,2,4039,ME,27,2,1
114,2001882,1,2,4101,ME,16,2,5
115,2002016,1,2,17356,PA,15,2,1
116,2002789,1,2,17356,PA,17,5,1
117,2002813,1,2,21228,MD,27,3,1
118,2003124,1,2,21220,MD,18,4,1
119,2003293,1,2,21093,MD,23,2,1
120,2003353,1,2,17319,PA,27,5,1
121,2003463,1,2,30117,GA,19,2,1
122,2003567,1,2,7661,NJ,17,2,1
123,2003659,1,2,33715,FL,27,2,6
124,2003661,1,2,21228,MD,18,2,1
125,2003691,1,2,17315,PA,15,2,7
126,2003743,1,2,21234,MD,15,2,1
127,2000166,1,2,47933,IN,17,2,1
128,2000394,1,2,43822,OH,23,2,1
129,2002057,1,2,21122,MD,13,1,1
130,2002372,1,2,59102,MT,13,1,1
131,2002714,1,2,60515,IL,8,2,1
132,2002721,1,2,60515,IL,13,2,1
133,2002762,1,2,21090,MD,23,3,1
134,2003007,1,2,60126,IL,26,4,1
135,2003141,1,2,60517,IL,16,1,1
136,2003215,1,2,20751,MD,23,1,6
137,2003227,1,2,60187,IL,27,2,1
138,2003363,1,2,7980,NJ,23,1,1
139,2003461,1,2,21037,MD,26,4,1
140,2003554,1,2,7828,NJ,23,2,1
141,2003723,1,2,60157,IL,26,3,1
142,2003847,1,2,60126,IL,18,1,1
143,2003910,1,2,78028,TX,27,4,1
144,2003967,1,2,21140,MD,18,2,1
145,2000090,1,2,83544,ID,18,2,1
146,2000913,1,2,52722,IA,10,1,6
147,2001193,3,2,98632,WA,11,2,1
148,2001387,1,2,21755,MD,10,1,5
149,2001637,1,2,59401,MT,13,1,1
150,2001799,1,2,83442,ID,26,2,1
151,2002116,1,2,31811,GA,11,1,1
152,2002321,1,2,52501,IA,19,3,1
153,2002380,1,2,59412,MT,13,1,7
154,2002422,3,2,63628,MO,18,3,3
155,2002827,1,2,78660,TX,27,2,1
156,2002850,1,2,16401,PA,11,2,1
157,2002994,1,2,31804,GA,27,2,1
158,2003274,1,2,11210,NY,19,5,3
159,2003326,1,2,78676,TX,26,2,1
160,2003366,1,1,78727,TX,3,2,1
161,2003623,2,2,11221,NY,26,4,5
162,2004020,1,2,78757,TX,21,2,1
163,2000185,1,2,52001,IA,11,1,1
164,2000860,4,2,48602,MI,21,3,1
165,2001164,1,2,94121,CA,13,1,6
166,2001361,1,2,20646,MD,27,2,1
167,2001571,1,2,49707,MI,18,3,1
168,2001581,1,2,52003,IA,26,2,1
169,2002190,1,2,45770,OH,11,3,1
170,2003112,1,2,60073,IL,13,2,7
171,2003247,1,2,46385,IN,19,2,1
172,2003405,1,2,10467,NY,8,1,5
173,2003414,1,2,24018,VA,19,1,1
174,2003720,2,2,10453,NY,26,3,1
175,2003944,1,2,11710,NY,26,3,1
176,2004005,2,2,10466,NY,21,2,5
177,2004243,1,2,46383,IN,16,2,6
178,2004428,1,2,78641,TX,27,4,1
179,2004614,1,2,60042,IL,23,3,5
180,2004621,2,2,10471,NY,26,2,1
181,2002733,1,2,90274,CA,27,2,1
182,2002888,1,2,93535,CA,26,2,1
183,2002971,3,2,90638,CA,23,3,1
184,2003019,1,2,30135,GA,26,2,1
185,2003028,1,2,90603,CA,23,3,1
186,2003180,1,2,91342,CA,21,1,6
187,2003199,3,2,90247,CA,18,3,1
188,2003252,1,1,91744,CA,23,5,1
189,2003488,1,2,90036,CA,19,2,5
190,2003498,1,2,90503,CA,23,1,1
191,2003500,4,1,90250,CA,26,4,1
192,2003501,1,2,91367,CA,17,1,1
193,2003563,1,1,90504,CA,19,2,1
194,2003669,1,2,90808,CA,26,2,1
195,2003794,1,2,90717,CA,27,1,7
196,2003818,1,2,93550,CA,23,1,1
197,2003950,1,2,90731,CA,26,2,1
198,2004031,1,2,93535,CA,23,4,1
199,2000112,1,2,62518,IL,23,4,1
200,2000179,1,2,46214,IN,13,2,2
201,2000258,1,2,63703,MO,16,2,5
202,2000526,1,2,4765,ME,21,2,1
203,2000814,2,2,46226,IN,4,1,1
204,2000818,1,2,46236,IN,13,1,1
205,2000935,1,2,55731,MN,23,2,1
206,2001124,1,2,83709,ID,16,1,1
207,2001260,1,2,12804,NY,26,2,1
208,2001277,1,2,13502,NY,17,1,1
209,2001282,1,2,13732,NY,27,2,1
210,2001322,1,2,16046,PA,17,4,1
211,2001902,2,2,6513,CT,21,1,2
212,2001907,1,2,6712,CT,23,6,1
213,2002105,1,2,30240,GA,23,2,1
214,2002272,1,1,48851,MI,26,3,1
215,2002368,1,2,57355,SD,21,4,1
216,2004467,1,2,93301,CA,15,2,5
217,2004373,1,2,60453,IL,26,1,6
218,2004433,1,2,60426,IL,10,2,1
219,2004454,1,2,21911,MD,23,2,1
220,2004607,1,2,60103,IL,15,2,3
221,2004738,2,2,60411,IL,27,3,1
222,2004885,1,2,60426,IL,13,1,1
223,2004985,1,2,60445,IL,26,2,1
224,2005002,1,2,60004,IL,27,4,1
225,2005003,1,2,60195,IL,19,1,6
226,2005007,1,2,60430,IL,15,3,1
227,2005016,2,2,60637,IL,16,1,3
228,2005019,4,1,60803,IL,26,5,1
229,2005061,1,2,60625,IL,11,1,3
230,2005196,1,2,60195,IL,27,2,1
231,2005202,1,2,60546,IL,11,1,1
232,2005268,2,2,60616,IL,17,4,5
233,2005351,1,2,60655,IL,13,1,1
234,2005431,1,2,60452,IL,18,1,1
235,2005518,1,2,32137,FL,6,1,1
236,2004409,1,2,78758,TX,16,2,1
237,2004463,2,2,21701,MD,26,3,3
238,2004493,1,2,21719,MD,19,2,1
239,2004660,1,2,11219,NY,23,3,5
240,2004661,1,2,11229,NY,16,2,1
241,2004673,2,2,11236,NY,23,4,5
242,2004748,1,2,78752,TX,11,1,1
243,2004750,1,2,78757,TX,21,2,1
244,2004946,1,2,21740,MD,21,2,7
245,2005238,1,1,11213,NY,11,2,6
246,2005454,1,2,78620,TX,26,2,1
247,2005456,1,2,78729,TX,27,4,1
248,2005614,1,2,78744,TX,23,2,1
249,2005638,1,2,21742,MD,16,1,1
250,2005669,1,2,78620,TX,23,3,1
251,2005800,2,2,11216,NY,8,1,5
252,2005801,2,2,11233,NY,21,2,3
253,2005812,1,2,11229,NY,21,1,3
254,2000774,1,2,45069,OH,19,2,1
255,2000784,1,2,45050,OH,23,2,1
256,2001200,1,2,1108,MA,21,2,1
257,2001278,1,2,13605,NY,15,2,1
258,2001661,1,2,61604,IL,19,2,1
259,2002088,1,2,21842,MD,13,2,1
260,2002350,1,2,54901,WI,13,1,1
261,2002717,1,2,30188,GA,23,2,1
262,2002905,1,2,30188,GA,26,4,1
263,2002924,1,2,53045,WI,27,1,1
264,2002938,1,2,31061,GA,19,4,1
265,2002996,1,2,30013,GA,26,1,1
266,2003035,1,2,34609,FL,21,2,1
267,2003282,1,2,30114,GA,26,4,1
268,2004180,1,2,97701,OR,23,4,1
269,2004690,1,2,53402,WI,23,5,1
270,2005213,1,2,22960,VA,26,2,1
271,2005306,1,2,30114,GA,23,2,1
272,2000129,1,2,46071,IN,21,1,1
273,2000144,1,2,46123,IN,16,1,1
274,2000600,1,2,14456,NY,15,1,1
275,2001456,1,2,44130,OH,17,2,5
276,2001460,2,2,44121,OH,27,3,1
277,2001461,1,2,44137,OH,15,2,5
278,2001465,1,2,44138,OH,17,1,1
279,2002113,1,2,30721,GA,19,4,1
280,2002149,2,2,44122,OH,21,3,1
281,2002151,1,2,44136,OH,21,2,1
282,2002771,1,2,17252,PA,11,1,7
283,2003003,1,2,92262,CA,11,2,1
284,2003021,1,2,26757,WV,13,2,1
285,2003377,1,2,17201,PA,13,3,1
286,2003566,1,2,30721,GA,16,4,1
287,2003584,4,1,92551,CA,16,2,1
288,2004100,1,2,17201,PA,23,1,1
289,2004499,1,2,92530,CA,15,2,1
290,2003109,1,2,60446,IL,21,2,1
291,2003146,1,2,92374,CA,23,2,1
292,2003345,1,2,92374,CA,13,2,7
293,2003680,1,2,60417,IL,27,2,1
294,2004016,1,2,44685,OH,13,2,3
295,2004113,1,2,91737,CA,26,2,5
296,2004182,2,2,91710,CA,26,2,1
297,2004218,1,2,60468,IL,15,2,1
298,2004307,1,2,43947,OH,26,2,1
299,2004319,1,2,85375,AZ,17,3,1
300,2004692,1,2,60401,IL,16,1,1
301,2004713,2,2,91761,CA,10,2,1
302,2004931,1,2,85225,AZ,21,3,1
303,2005301,1,2,22644,VA,13,2,1
304,2005391,2,2,21801,MD,15,1,1
305,2005482,1,2,92376,CA,23,2,1
306,2005640,1,2,21804,MD,21,3,1
307,2005742,1,2,22601,VA,18,2,1
308,2003070,1,2,21218,MD,21,2,1
309,2003294,2,2,21215,MD,21,2,1
310,2003478,1,2,11743,NY,23,2,1
311,2003930,1,2,11743,NY,15,1,3
312,2003958,2,2,21216,MD,17,5,1
313,2003983,1,2,21014,MD,23,1,2
314,2004224,1,2,8852,NJ,17,1,6
315,2004711,1,2,30165,GA,21,4,1
316,2004873,1,2,31087,GA,19,2,1
317,2004989,1,2,7095,NJ,26,3,1
318,2004994,1,2,11705,NY,27,6,1
319,2005115,2,2,21201,MD,6,1,5
320,2005167,1,2,21214,MD,18,4,1
321,2005254,1,2,10562,NY,13,1,1
322,2005412,1,2,7062,NJ,26,2,1
323,2005443,2,2,21239,MD,18,2,1
324,2005477,2,2,10552,NY,19,2,2
325,2005532,1,2,11746,NY,27,1,1
326,2004125,1,2,91780,CA,23,2,6
327,2004191,1,2,6470,CT,26,2,1
328,2004448,1,2,90706,CA,18,2,1
329,2004459,2,2,90248,CA,16,2,1
330,2004886,1,2,30553,GA,18,2,1
331,2004988,1,2,60440,IL,26,4,1
332,2005309,1,2,91104,CA,26,1,5
333,2005320,2,2,90043,CA,19,2,5
334,2005345,2,2,90803,CA,26,2,1
335,2005377,1,2,91304,CA,21,3,1
336,2005865,1,2,90717,CA,15,1,5
337,2005884,3,2,91780,CA,18,2,1
338,2005918,1,2,90034,CA,27,3,1
339,2006430,3,2,90703,CA,27,2,1
340,2006540,3,2,90230,CA,18,3,1
341,2006799,1,2,91750,CA,16,1,7
342,2006807,1,2,91773,CA,27,3,1
343,2006819,1,2,91506,CA,23,1,1
344,2004168,1,2,22079,VA,27,2,1
345,2004188,1,2,7857,NJ,23,1,3
346,2004226,1,2,60515,IL,10,1,1
347,2004294,1,2,60540,IL,27,4,1
348,2004341,1,2,22152,VA,26,2,1
349,2004466,1,2,7836,NJ,26,4,1
350,2004686,1,2,60187,IL,11,2,1
351,2004896,1,2,22153,VA,27,2,1
352,2005055,1,2,21401,MD,21,2,1
353,2005100,1,2,21122,MD,26,4,1
354,2005104,1,2,22003,VA,23,3,1
355,2005191,1,2,22015,VA,26,3,1
356,2005215,1,2,22150,VA,23,2,1
357,2005257,1,2,30176,GA,23,2,1
358,2005312,1,2,60515,IL,27,6,1
359,2005489,1,2,60439,IL,27,4,1
360,2005805,1,2,20171,VA,27,2,1
361,2005842,1,2,7876,NJ,27,2,1
362,2004637,1,2,46368,IN,26,3,1
363,2004733,1,2,11565,NY,27,5,1
364,2004756,1,2,95954,CA,19,3,7
365,2005093,1,2,60002,IL,21,2,1
366,2005420,1,2,60060,IL,18,2,1
367,2005455,4,2,78641,TX,26,2,1
368,2005470,2,2,10475,NY,17,1,6
369,2005556,1,2,11030,NY,11,1,1
370,2005699,1,2,19709,DE,27,4,1
371,2005733,1,2,46368,IN,26,2,1
372,2005890,2,2,10462,NY,19,1,5
373,2006010,1,2,78628,TX,16,2,1
374,2006101,1,2,76049,TX,23,5,1
375,2006105,1,2,30132,GA,23,5,1
376,2006186,1,2,10462,NY,15,2,5
377,2006222,1,2,20640,MD,13,7,1
378,2006513,1,2,78641,TX,23,2,1
379,2006650,1,2,81413,CO,17,2,1
380,2000145,1,2,46792,IN,8,2,1
381,2000213,1,2,4676,ME,16,2,7
382,2000402,1,2,97035,OR,27,4,1
383,2000742,1,2,43402,OH,26,2,1
384,2002649,1,2,97055,OR,21,3,1
385,2002791,1,2,30606,GA,21,3,1
386,2002793,1,2,30642,GA,23,2,1
387,2002916,1,2,21502,MD,16,2,1
388,2003441,1,2,77979,TX,27,2,1
389,2003467,2,2,30606,GA,15,1,1
390,2004117,1,2,30605,GA,26,2,1
391,2004442,1,2,30607,GA,23,2,1
392,2004476,1,2,30606,GA,18,1,1
393,2004569,1,2,92625,CA,23,1,1
394,2004849,1,2,21502,MD,27,4,1
395,2005296,1,2,22202,VA,27,1,6
396,2005297,1,2,8690,NJ,23,4,1
397,2006193,1,2,90740,CA,21,2,1
398,2002443,1,2,67204,KS,19,2,1
399,2002445,1,2,67212,KS,16,2,1
400,2003082,1,1,8701,NJ,13,1,5
401,2003299,1,2,10021,NY,16,1,6
402,2003485,1,2,8759,NJ,18,2,4
403,2003615,1,2,10019,NY,19,1,6
404,2003735,1,2,8742,NJ,10,1,1
405,2003832,1,2,10954,NY,26,2,2
406,2004272,2,2,10983,NY,21,3,3
407,2004478,1,2,8050,NJ,21,2,1
408,2004511,1,2,8757,NJ,17,2,1
409,2004775,1,2,10032,NY,10,1,5
410,2005468,1,2,8527,NJ,26,3,4
411,2005575,1,2,8527,NJ,27,6,1
412,2005577,1,2,8732,NJ,27,3,1
413,2005913,1,2,78949,TX,21,4,1
414,2006062,1,2,10003,NY,27,2,6
415,2006933,1,2,10009,NY,27,4,5
416,2000770,1,2,44833,OH,18,2,1
417,2001038,1,2,53026,WI,17,7,1
418,2001060,2,2,75232,TX,23,1,1
419,2001371,1,2,20850,MD,26,4,1
420,2002314,1,2,85614,AZ,17,2,1
421,2002541,1,2,78382,TX,11,1,7
422,2002579,1,2,85704,AZ,27,2,1
423,2002863,3,2,30062,GA,26,4,1
424,2003211,1,2,7039,NJ,27,4,1
425,2003455,1,2,30144,GA,21,4,1
426,2003611,1,2,60050,IL,26,2,1
427,2003877,1,2,60510,IL,11,2,1
428,2003909,1,2,20906,MD,23,1,6
429,2003916,1,2,20874,MD,26,3,1
430,2004350,1,2,60554,IL,19,2,1
431,2004616,1,2,30066,GA,16,2,1
432,2004856,1,2,37040,TN,26,2,1
433,2004938,1,2,60506,IL,26,1,1
434,2000351,1,2,13642,NY,16,2,1
435,2000383,1,2,43611,OH,13,2,1
436,2000426,1,2,19067,PA,16,1,1
437,2001076,1,2,78216,TX,19,3,1
438,2001155,4,1,93907,CA,17,2,1
439,2001157,1,2,93922,CA,13,1,1
440,2001280,1,2,13662,NY,16,1,1
441,2001741,1,2,78023,TX,23,2,1
442,2001753,1,1,78207,TX,11,2,1
443,2001758,1,2,78213,TX,15,1,1
444,2001760,1,2,78216,TX,3,1,5
445,2001763,1,2,78223,TX,23,2,1
446,2001765,1,2,78225,TX,15,3,1
447,2001773,1,2,78238,TX,4,1,5
448,2001777,1,2,78247,TX,19,3,1
449,2001916,1,2,89128,NV,16,2,6
450,2002513,1,2,78248,TX,18,1,1
451,2002515,1,2,78214,TX,10,2,1
452,2000165,1,2,46140,IN,26,2,1
453,2000246,1,2,48101,MI,26,2,1
454,2000368,1,2,45820,OH,26,2,3
455,2000727,2,2,30310,GA,26,2,1
456,2000855,2,2,48238,MI,17,1,1
457,2001315,1,2,15480,PA,6,1,7
458,2001500,1,2,45806,OH,26,2,1
459,2001582,1,2,52031,IA,19,2,1
460,2002117,1,2,34761,FL,11,1,5
461,2002189,1,2,45750,OH,23,1,1
462,2002391,1,2,59803,MT,21,2,1
463,2002803,3,2,11368,NY,16,2,5
464,2002910,1,2,30306,GA,13,1,1
465,2003040,1,2,30344,GA,21,2,1
466,2003116,1,2,30076,GA,23,3,1
467,2003207,1,2,30153,GA,18,2,1
468,2003469,1,2,30075,GA,26,3,1
469,2003489,1,2,30084,GA,26,1,6
470,2003499,1,2,30512,GA,10,2,1
471,2000369,1,2,45764,OH,19,2,1
472,2000498,1,2,1002,MA,21,2,1
473,2000910,1,2,52542,IA,4,1,1
474,2000946,1,2,61265,IL,21,1,5
475,2001043,1,2,68901,NE,21,4,1
476,2001363,1,2,20706,MD,17,2,1
477,2001855,1,2,98277,WA,26,2,1
478,2001983,1,2,15009,PA,13,3,1
479,2002856,1,2,22553,VA,19,1,1
480,2003169,1,2,62939,IL,18,2,1
481,2003318,1,2,30223,GA,27,3,1
482,2003325,1,2,30223,GA,8,1,1
483,2003435,1,2,20740,MD,27,4,1
484,2003695,1,2,30224,GA,26,4,1
485,2003792,1,2,30224,GA,16,2,1
486,2003819,1,2,20715,MD,26,2,1
487,2003989,2,2,30224,GA,27,3,1
488,2004009,1,2,30534,GA,23,1,1
489,2006864,1,2,91702,CA,19,2,1
490,2007037,1,2,90706,CA,23,2,1
491,2007074,1,2,90064,CA,26,2,1
492,2007143,3,2,90049,CA,26,3,1
493,2007151,3,2,90815,CA,26,4,1
494,2007156,1,2,91350,CA,26,2,1
495,2007222,1,2,90250,CA,23,2,1
496,2007302,1,2,60440,IL,21,1,1
497,2007466,1,2,6801,CT,15,4,1
498,2009110,1,2,62922,IL,21,2,1
499,2009526,4,2,90036,CA,23,1,1
500,2009532,2,2,90043,CA,27,3,1
501,2009547,1,2,90068,CA,26,2,1
502,2009564,1,2,90274,CA,27,3,1
503,2009566,1,2,90275,CA,26,2,1
504,2009570,2,2,90293,CA,23,1,6
505,2009572,1,2,90403,CA,19,2,3
506,2009573,1,2,90403,CA,26,1,5
507,2003865,1,2,20622,MD,21,2,1
508,2003979,1,2,17315,PA,26,2,1
509,2004165,1,2,22033,VA,27,5,1
510,2008028,1,2,21043,MD,27,3,1
511,2008078,1,2,21208,MD,27,3,1
512,2008094,1,2,21221,MD,19,3,1
513,2008105,1,2,21227,MD,16,1,1
514,2008108,1,2,21228,MD,27,1,1
515,2008217,1,2,22314,VA,21,1,5
516,2008291,1,2,31326,GA,21,6,1
517,2008461,1,2,30117,GA,17,2,1
518,2008550,1,2,30180,GA,23,2,1
519,2010404,1,2,22033,VA,27,4,1
520,2010418,1,2,28430,NC,13,1,1
521,2010573,1,2,54728,WI,21,2,1
522,2010753,1,2,81226,CO,21,2,1
523,2010904,1,2,33782,FL,18,2,1
524,2010940,1,2,17331,PA,26,2,1
525,2006937,1,2,11561,NY,27,2,6
526,2006956,1,2,78681,TX,21,2,1
527,2007388,1,2,78664,TX,26,5,1
528,2007451,1,2,76574,TX,21,3,1
529,2007675,2,2,10460,NY,23,4,5
530,2007678,4,1,10463,NY,23,4,6
531,2007934,3,2,20602,MD,26,3,1
532,2007935,1,2,20603,MD,17,1,1
533,2008216,3,2,20112,VA,27,2,1
534,2008525,1,2,30157,GA,26,3,1
535,2008972,1,2,60035,IL,26,4,1
536,2009013,1,2,60084,IL,27,4,1
537,2010057,1,2,67735,KS,18,2,1
538,2010196,1,2,17851,PA,26,4,1
539,2010411,1,2,22025,VA,27,3,1
540,2010798,1,2,89431,NV,13,1,1
541,2010826,1,2,95503,CA,18,1,1
542,2010889,1,2,5733,VT,10,1,1
543,2005188,1,2,48035,MI,18,1,6
544,2005460,1,2,44273,OH,27,2,1
545,2005615,1,2,78654,TX,11,1,1
546,2008638,3,2,30236,GA,27,2,1
547,2008649,1,2,30240,GA,16,2,1
548,2008651,1,2,30241,GA,19,2,1
549,2008802,2,2,30274,GA,18,1,1
550,2009422,1,2,78605,TX,10,2,1
551,2009504,1,2,76534,TX,26,5,1
552,2010313,1,2,13502,NY,19,2,1
553,2010422,1,2,30230,GA,16,1,1
554,2010458,2,2,46226,IN,23,2,1
555,2010935,1,2,17055,PA,23,2,1
556,2011048,1,2,48072,MI,16,1,1
557,2011193,1,2,64468,MO,18,2,1
558,2011207,1,2,66611,KS,19,2,1
559,2011385,1,2,4444,ME,27,2,1
560,2012194,1,2,17055,PA,23,2,1
561,2005807,1,2,22701,VA,27,3,1
562,2005996,1,2,92026,CA,27,2,1
563,2006266,1,2,30188,GA,26,2,1
564,2008456,1,2,30115,GA,27,3,1
565,2008459,1,2,30115,GA,26,5,1
566,2008546,1,2,30114,GA,27,3,1
567,2008587,1,2,30094,GA,27,4,1
568,2008590,1,2,30013,GA,26,2,1
569,2008605,1,2,41063,KY,23,2,1
570,2008907,1,2,31024,GA,13,1,1
571,2009749,1,2,92057,CA,23,2,6
572,2010397,1,2,21842,MD,13,2,7
573,2010463,1,2,53402,WI,19,1,5
574,2010597,1,2,59072,MT,8,1,1
575,2010609,1,2,59410,MT,13,2,1
576,2010615,1,2,59601,MT,13,1,1
577,2011164,1,2,61604,IL,15,2,1
578,2011289,4,1,89049,NV,16,6,1
579,2009497,1,2,75070,TX,27,3,1
580,2009973,1,2,81503,CO,10,1,1
581,2010303,1,2,12110,NY,26,2,1
582,2010306,1,2,12566,NY,27,2,1
583,2010477,1,2,48043,MI,23,1,1
584,2010670,1,2,64506,MO,26,2,1
585,2010797,1,2,54896,WI,16,2,1
586,2010884,1,2,5491,VT,17,3,1
587,2011170,1,2,62339,IL,11,5,1
588,2011316,1,1,94547,CA,23,2,1
589,2011473,1,2,16652,PA,16,3,1
590,2011477,1,2,17264,PA,23,2,1
591,2011578,2,2,48080,MI,26,3,1
592,2011774,1,2,81526,CO,21,2,1
593,2012226,3,2,20165,VA,27,2,5
594,2012734,1,2,30055,GA,21,2,1
595,2013496,1,2,31064,GA,27,2,1
596,2013860,1,2,50428,IA,15,1,1
597,2007434,1,2,10983,NY,26,3,1
598,2007623,3,2,10002,NY,27,4,6
599,2007629,1,2,10011,NY,21,1,6
600,2007640,1,2,10022,NY,17,1,6
601,2007641,1,2,10022,NY,18,1,6
602,2007660,1,2,10033,NY,23,4,5
603,2009430,1,2,78624,TX,19,2,1
604,2009453,1,2,78675,TX,23,2,1
605,2010136,1,2,14226,NY,15,2,1
606,2010538,1,2,50158,IA,19,2,1
607,2010902,1,2,13088,NY,15,1,1
608,2011019,1,2,43943,OH,26,3,1
609,2011158,1,2,61111,IL,19,5,1
610,2011740,4,1,66113,KS,16,4,7
611,2011794,1,2,84724,UT,13,2,1
612,2012022,1,2,8724,NJ,11,2,1
613,2012059,1,1,10977,NY,26,6,1
614,2012096,2,2,10901,NY,26,3,6
615,2005530,1,2,60005,IL,19,1,1
616,2005544,1,2,60415,IL,19,2,1
617,2005594,1,2,60622,IL,27,4,1
618,2005627,2,2,30277,GA,26,3,1
619,2005645,1,2,60534,IL,11,1,1
620,2005745,1,2,60458,IL,27,5,1
621,2005826,1,2,60089,IL,27,2,1
622,2007919,1,2,19940,DE,10,2,1
623,2007920,1,2,19947,DE,21,2,1
624,2007923,1,2,19968,DE,6,2,3
625,2007945,1,2,19966,DE,15,2,1
626,2008208,1,2,60004,IL,27,2,1
627,2008793,1,2,30263,GA,26,1,1
628,2008947,1,2,60004,IL,23,1,1
629,2008988,1,2,60074,IL,27,4,1
630,2008997,1,2,60068,IL,19,1,1
631,2009007,1,2,60645,IL,16,1,6
